Destinations,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Georgia,18302,2137,1747,1720,16980,3921,3345,666,651,43170,1320162,958,504,9567,7054,1179,1472,7156,3742,273,8479,4527,9173,2024,4905,2879,649,494,1952,168,5015,388,12563,14348,357,11264,2360,3291,5786,2231,246,13214,202,13459,16366,485,261,12788,3134,710,962,997
Hawaii,1163,1245,1153,281,11820,936,299,139,214,2843,1163,144013,496,1271,102,256,78,612,121,322,239,1052,2468,633,68,140,758,55,1663,222,763,634,2038,1912,0,244,737,1392,137,0,202,211,280,231,3161,917,387,3270,4758,71,65,48
Idaho,74,710,4727,586,10088,1334,474,0,0,2139,331,320,192170,357,112,342,587,74,204,358,314,179,332,390,27,281,1713,177,2838,0,422,521,268,920,227,583,435,3208,171,80,65,12,263,104,1744,4599,0,1114,11906,0,796,1284
Illinois,1959,572,5238,2061,12828,4698,943,749,1241,17472,6397,2151,720,1412042,19672,11109,2322,3818,1761,418,1690,3518,11703,4761,909,10379,100,174,2485,299,2293,1008,9262,4430,562,6915,1804,455,4363,530,717,2150,303,4949,11722,681,370,5454,2659,724,12412,241
Indiana,2729,201,3790,873,5806,2900,400,87,179,7823,2744,458,1187,28173,833652,975,711,8527,993,207,770,457,12383,868,298,2379,26,600,282,1559,808,357,3470,1184,0,13772,629,71,2389,196,139,1378,303,2960,6906,1500,679,2043,1010,1100,2906,570
Iowa,261,440,2142,590,3510,2691,1059,85,308,1403,1629,502,314,11981,2242,383846,2310,1120,1155,311,193,193,1203,5480,638,2588,312,7380,1311,0,255,141,952,761,1508,835,1273,161,642,385,0,451,3562,320,2932,502,17,534,1836,0,3573,713
Kansas,1323,947,2689,1292,6776,4231,0,0,74,3805,2970,624,387,2637,2660,2181,385305,773,1614,4,797,703,2736,1774,641,24307,233,2902,1983,175,1702,1145,900,1476,423,2021,6975,494,168,90,663,426,865,2799,8527,394,0,1162,568,0,237,422
Kentucky,1904,1567,2014,680,2985,1121,191,137,177,7638,4830,144,129,4558,10764,814,1665,532445,739,147,1273,1311,4759,777,1085,2578,239,163,260,828,287,273,4580,4162,0,13469,3014,393,3386,923,0,3527,0,14336,6849,701,110,4303,984,4534,876,0
Louisiana,2065,864,1687,1926,2510,503,34,174,165,9137,4994,161,1073,1377,1190,177,1029,741,538217,292,1170,287,1378,315,10373,972,92,98,868,0,681,322,1221,1360,190,1736,2119,285,2225,271,148,929,343,4575,24857,427,68,1710,902,324,543,69
Maine,16,139,650,0,1320,544,1394,49,0,1781,699,129,0,413,0,59,0,0,521,137512,238,3518,0,264,20,119,0,0,0,3395,938,98,1956,271,0,343,25,277,648,0,437,194,0,1090,318,178,958,869,221,320,168,95
Maryland,1118,1497,3126,316,6639,1287,2895,3935,21189,11155,5689,739,1017,2733,1268,263,1419,1598,632,1228,581828,3290,4223,908,1466,2403,0,55,206,620,6810,763,11910,8192,0,3517,853,326,14019,681,676,3310,0,2906,6650,714,889,22050,1697,4826,1255,0
Massachusetts,415,1726,1362,368,11981,2117,11112,65,1726,13714,1954,1798,149,6326,1810,0,209,438,64,4228,2984,677839,3521,1351,164,1608,288,0,416,10775,6850,344,22409,3313,153,3233,385,667,5264,2941,6316,566,0,922,2242,636,1413,4885,2219,190,819,64
Michigan,3334,1374,3123,544,6753,1606,646,328,56,12319,2862,170,251,11330,6550,716,839,2155,1189,38,1667,1417,1296433,1242,1492,2437,92,523,1580,334,2208,128,4583,3009,309,11801,821,1631,2106,594,177,1693,156,2650,6142,611,247,2054,3397,220,5888,662
Minnesota,526,986,2571,595,4371,2426,851,0,138,3114,2293,331,42,5545,1206,5738,934,563,0,35,751,253,1868,631602,270,985,661,1486,969,74,815,639,2275,2842,7160,1388,1208,1088,1111,0,0,711,3268,979,4835,513,318,1697,2783,107,17189,436
Mississippi,6446,0,242,3833,2379,579,738,89,44,5402,5185,171,0,4127,513,113,661,818,7145,127,432,319,2235,244,359199,1235,0,0,522,0,232,55,409,1181,77,1419,915,0,565,103,190,518,118,9936,5024,0,0,842,517,54,1491,0
Missouri,2676,814,3269,5795,7509,2753,799,82,397,6801,3512,1047,311,21245,2956,5484,18757,3358,1526,509,994,716,2304,1778,1617,800410,303,1887,1851,0,1515,515,2555,2766,235,3895,4283,915,2449,66,189,707,1320,3262,9955,1223,163,4702,2346,969,5125,66
Montana,0,1209,1786,133,2471,1967,39,0,0,2267,599,93,1616,875,303,34,0,171,145,20,183,238,306,416,395,265,129117,31,1116,35,60,471,379,565,1051,269,142,1764,199,0,68,131,344,417,902,1021,0,159,4701,45,729,885
Nebraska,58,364,1972,279,4272,2393,288,79,69,4052,1024,123,177,1472,195,7080,4783,250,117,0,354,309,1465,1757,418,2973,228,253941,387,408,22,298,515,94,682,191,227,138,240,107,0,821,1191,314,4072,276,265,941,2281,0,908,2285
Nevada,460,1188,7681,717,39762,2293,386,0,167,5438,1409,3073,3050,2451,940,491,348,643,290,0,329,192,2516,1863,567,1193,345,271,427802,763,505,1544,1638,2412,637,549,352,3268,1079,738,169,0,346,292,4991,5331,0,1915,3206,20,968,471
New Hampshire,347,18,207,261,1231,523,2113,0,0,1839,362,52,0,536,321,0,68,0,58,1792,449,14984,213,0,187,130,452,0,0,131787,737,0,2370,761,0,537,0,249,804,0,1256,0,324,133,820,209,2109,1241,147,0,100,0
New Jersey,250,1116,1270,0,6156,524,4343,2693,860,13935,4958,699,342,2509,545,128,61,59,174,588,3089,3982,800,722,295,314,0,137,299,477,663534,360,41692,3499,53,2122,277,199,19947,5506,534,1326,0,494,3368,129,65,3378,1060,683,117,78
New Mexico,2420,588,9402,290,8439,3269,42,49,366,1911,1347,263,200,1807,1434,647,234,123,45,63,670,821,683,516,436,1941,763,934,3274,0,879,237011,300,510,194,976,1180,1012,452,305,0,668,0,54,9796,2710,166,1196,1001,102,262,57
New York,2626,2993,4099,759,22916,3047,12522,893,3573,30875,8175,1327,607,6982,2566,846,671,1811,1525,1557,6982,17239,7467,1921,205,2225,889,315,3137,2285,36630,1248,1750107,11518,0,5822,1777,807,21961,5818,2620,3874,219,2736,10249,497,4407,8902,2163,995,1894,310
North Carolina,5102,1184,3016,1522,13044,2978,4669,1890,1654,24457,14511,1211,118,4708,2927,1463,2982,5790,1913,1338,9570,5673,9510,1089,2983,3945,50,228,2159,1746,13266,1432,20865,1121447,117,11709,1620,1728,10774,2496,1717,22374,339,7780,13658,195,2190,27787,2000,5260,3007,427
North Dakota,312,922,776,4,1344,468,84,0,0,979,392,0,257,568,181,513,114,327,83,0,294,0,637,13564,113,63,1689,100,207,0,203,337,66,299,79725,314,0,122,191,0,0,22,1222,96,1270,280,0,85,390,141,365,576
Ohio,2326,1311,3845,930,7763,1788,1164,598,218,13641,4774,590,962,6871,10204,744,1521,10490,896,431,3273,3360,15255,2764,879,2545,239,480,1503,823,2187,689,10451,5793,232,1449735,382,990,10965,1936,336,3473,791,8025,5372,1162,503,7827,1620,5679,1157,136
Oklahoma,1313,765,4401,7671,9264,4385,0,43,87,4103,3389,247,189,2314,782,2370,5696,1431,1676,41,1776,525,893,562,1325,5505,138,437,1364,28,1033,2776,2076,2096,272,1573,542454,2081,1180,0,147,690,332,1091,32437,1420,232,2351,1989,115,393,846
Oregon,1178,4826,4833,457,32088,2955,787,0,283,3411,362,3155,5791,1506,300,487,1162,1942,1284,295,187,1325,1625,1408,94,401,2163,611,4062,0,788,1142,983,3120,0,1215,2361,525774,1471,314,55,113,0,1037,5636,2239,303,1115,23557,901,769,1392
Pennsylvania,705,1185,2493,798,9955,3233,4552,5805,2153,15365,5439,506,753,3731,1767,349,1345,2274,859,998,18826,5320,4431,1007,1279,1116,90,237,2401,511,38000,270,31898,8218,254,12275,781,1803,1265229,3568,1406,2895,638,2016,6279,2374,583,11607,1491,4074,2252,151
Puerto Rico,0,0,774,60,668,413,1461,0,0,11603,724,0,0,667,0,0,0,56,0,113,427,2182,0,0,0,0,0,76,0,51,2356,53,3867,452,0,108,0,0,1538,250658,837,0,157,169,2182,0,0,697,226,0,68,123
Rhode Island,0,2076,446,0,2045,0,3050,62,107,2074,710,196,87,54,0,0,0,132,66,400,754,6947,185,169,249,0,65,13,84,1064,1330,0,3042,654,0,592,0,56,982,442,102297,611,13,782,327,0,521,2855,330,0,44,0
South Carolina,2447,241,1378,555,5290,1454,2951,1005,330,11845,17672,608,491,2501,1628,326,259,2213,2125,484,1692,1908,3353,637,808,1682,184,356,639,1240,4722,752,10762,24468,55,7011,876,616,7008,302,424,499571,183,3330,4461,164,567,8035,1841,617,850,527
South Dakota,180,15,361,56,2390,1000,11,0,0,994,24,56,158,984,0,2539,384,30,16,234,0,46,511,5445,99,210,1756,2002,99,0,57,21,587,567,1658,1192,518,554,303,1,0,13,98794,74,760,1032,165,299,891,0,674,666
Tennessee,9479,1101,3644,5854,7555,1728,476,352,621,14221,15255,1434,887,4449,6225,907,1515,9874,4497,807,1903,857,6991,887,8735,3246,0,1001,495,421,1643,882,5361,8333,0,7424,1840,682,2098,85,130,3456,0,781477,7422,805,109,7904,2278,537,1316,452
Texas,8538,9457,21263,10856,61270,19748,2291,1896,1298,38150,19389,6988,2303,23156,9112,2375,10722,4045,26438,748,9001,4162,12444,7075,6329,12940,1346,3355,6111,823,5813,15279,12973,16530,839,11900,25784,4375,9849,4279,1385,9363,1360,10479,3737251,4435,485,17223,9996,906,2915,1369
Utah,336,783,10309,92,15623,6976,118,500,254,2599,1494,1968,7914,1357,521,962,809,456,60,156,532,1221,906,1212,191,1126,1682,1178,5272,206,380,954,1776,233,0,542,669,3060,608,31,106,119,71,1331,4769,358528,0,1047,5817,96,656,1297
Vermont,64,0,46,46,793,800,1354,0,152,806,115,262,26,313,52,199,0,39,384,996,123,1940,99,50,0,154,0,58,30,3828,558,148,2673,180,0,326,41,0,863,0,225,38,38,126,404,207,59341,254,167,0,173,240
Virginia,2890,1983,5651,602,17162,3707,5330,1236,8030,18322,10684,4651,1225,6402,2432,998,2229,2257,2082,2891,26226,5017,7227,1026,1527,1394,524,1852,1506,1850,9348,760,18470,22109,213,6870,839,715,10518,2391,1243,9969,0,10902,12764,3226,932,929239,4090,4710,1469,1149
Washington,1179,3199,9507,708,42693,4974,1134,111,247,6782,5041,4084,8128,3899,1764,1593,723,792,970,459,2426,1762,4827,2021,1349,3886,3050,356,4082,342,1969,1683,5378,3145,488,2099,1521,26687,1113,595,456,1317,515,1189,10693,3716,112,3938,888519,917,1518,1517
West Virginia,988,1272,931,321,181,765,0,200,228,4622,1397,241,530,592,1159,0,0,2901,0,54,4117,121,2085,80,892,433,0,169,105,0,1090,0,1117,2610,265,6950,114,0,3085,307,0,1217,153,433,1276,475,293,6307,37,169720,42,0
Wisconsin,574,603,2323,365,4361,2798,571,66,0,4493,1406,341,653,21139,2460,2636,1495,350,518,23,669,279,5456,16937,789,1398,176,313,976,94,410,657,2203,2137,306,2609,230,689,976,327,744,425,451,1397,3135,569,179,1710,1642,195,699209,222
Wyoming,0,454,759,300,1581,4636,0,0,0,857,397,207,1241,171,164,92,440,0,324,0,0,124,1625,357,0,1681,1659,1861,235,0,122,199,96,153,189,224,187,81,92,0,107,101,1820,758,1340,3832,0,367,1770,0,286,56319
